"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"MPWI" "45" "-1.75327508661307" "-1.522269" "0.702196782229374" "-3.12955548984256" "-0.376994683383585"
"MPWI" "45" "-1.78450678424037" "-1.556734" "0.673115681225736" "-3.10378927687196" "-0.465224291608786"
"MPWI" "45" "-1.88104170713264" "-1.608643" "0.66601471956326" "-3.18640657065017" "-0.575676843615105"
"MPWI" "45" "-1.92011036272374" "-1.676638" "0.684732427617698" "-3.2621612599011" "-0.578059465546369"
"MPWI" "45" "-1.86894532619953" "-1.610504" "0.67457505707932" "-3.19108814294405" "-0.546802509455014"
"MPWI" "45" "-1.8012807814687" "-1.525498" "0.691690177921523" "-3.15696861865499" "-0.445592944282411"
"MPWI" "45" "-1.93948637629065" "-1.650172" "0.67610646688788" "-3.26463070110551" "-0.614342051475781"
"MPWI" "45" "-1.94170498259869" "-1.600256" "0.667181220460343" "-3.24935614586244" "-0.63405381933494"
"MPWI" "45" "-2.09458788538306" "-1.716215" "0.646521694853841" "-3.36174712252039" "-0.82742864824574"
"MPWI" "45" "-1.83362695100287" "-1.535405" "0.655181416004754" "-3.11775892971214" "-0.549494972293598"
"MPWI" "45" "-1.86104092919159" "-1.604437" "0.669101920269303" "-3.17245659490601" "-0.549625263477163"
"MPWI" "45" "-1.86444041807356" "-1.608045" "0.66993208419599" "-3.17748317518556" "-0.551397660961567"
"MPWI" "45" "-2.02478769599329" "-1.7019" "0.664782415673598" "-3.32773728826908" "-0.721838103717499"
"MPWI" "45" "-1.86140882030282" "-1.577808" "0.669576581374233" "-3.17375480468777" "-0.549062835917867"
"MPWI" "45" "-1.82273400026917" "-1.549905" "0.681436605696648" "-3.15832520518182" "-0.48714279535652"
"MPWI" "45" "-1.79813183437153" "-1.536557" "0.666330260025995" "-3.10411514583169" "-0.492148522911369"
"MPWI" "45" "-1.88462144340243" "-1.586387" "0.671725426526975" "-3.20117908689511" "-0.568063799909753"
"MPWI" "45" "-1.82979089951999" "-1.553055" "0.667539066123409" "-3.13814342739537" "-0.521438371644603"
"MPWI" "45" "-1.96704628463682" "-1.664482" "0.679012403456671" "-3.29788614046788" "-0.636206428805766"
"MPWI" "45" "-1.9671693201233" "-1.635365" "0.653702418955747" "-3.24840251788328" "-0.68593612236332"
"MPWI" "45" "-1.83416232573626" "-1.58509" "0.688481101620998" "-3.18356048894988" "-0.484764162522644"
"MPWI" "45" "-1.67244136074037" "-1.51767" "0.703621713787762" "-3.05151457850473" "-0.293368142976002"
"MPWI" "45" "-1.97796905228146" "-1.649345" "0.657854605959045" "-3.26734038702498" "-0.688597717537944"
"MPWI" "45" "-1.91948438700167" "-1.629284" "0.660365021564771" "-3.21377604591863" "-0.6251927280847"
"MPWI" "45" "-2.09458788538306" "-1.716215" "0.646521694853841" "-3.36174712252039" "-0.82742864824574"
"MPWI" "45" "-2.09458788538306" "-1.716215" "0.646521694853841" "-3.36174712252039" "-0.82742864824574"
"MPWI" "45" "-2.04947303074677" "-1.703932" "0.655975543844026" "-3.33516147142014" "-0.763784590073406"
"MPWI" "45" "-1.80381680263064" "-1.576388" "0.673953954564193" "-3.1247422808148" "-0.482891324446477"
"MPWI" "45" "-2.0916796704409" "-1.716079" "0.648179264700477" "-3.36208768477949" "-0.821271656102314"
"MPWI" "45" "-2.09458788538306" "-1.716215" "0.646521694853841" "-3.36174712252039" "-0.82742864824574"
"MPWI" "45" "-2.03109278092" "-1.697998" "0.656566029350893" "-3.31793855192022" "-0.744247009919785"
"MPWI" "45" "-1.87078440494455" "-1.541685" "0.667187827978213" "-3.17844851870535" "-0.563120291183746"
"MPWI" "45" "-1.75649935048714" "-1.596245" "0.704736883416197" "-3.13775826055988" "-0.375240440414387"
"MPWI" "45" "-1.9794837794304" "-1.64002" "0.652435636115723" "-3.2582341284477" "-0.700733430413108"
"MPWI" "45" "-1.70172761635535" "-1.501518" "0.711362443259539" "-3.09597238509847" "-0.307482847612239"
"MPWI" "45" "-1.7152253354624" "-1.581317" "0.717073926492955" "-3.12066440564131" "-0.309786265283488"
"MPWI" "45" "-1.81101686549941" "-1.555066" "0.681567398188339" "-3.14686441898523" "-0.475169312013597"
"MPWI" "45" "-1.973198192698" "-1.610361" "0.651448961170444" "-3.2500146943581" "-0.696381691037897"
"MPWI" "45" "-1.82488802363293" "-1.609884" "0.694402972174609" "-3.18589283985273" "-0.463883207413126"
"MPWI" "45" "-1.91806717456022" "-1.522173" "0.644149408355911" "-3.18057681560059" "-0.655557533519849"
"MPWI" "45" "-1.90513545917666" "-1.595761" "0.680617956000153" "-3.23912214016823" "-0.571148778185093"
"MPWI" "45" "-1.81083021326977" "-1.587872" "0.67842456168589" "-3.14051792040148" "-0.481142506138048"
"MPWI" "45" "-1.81053897721536" "-1.514101" "0.663304817967892" "-3.11059253120433" "-0.510485423226396"
"MPWI" "45" "-1.80222220836729" "-1.546275" "0.66378955092378" "-3.10322582149191" "-0.501218595242666"
"MPWI" "45" "-1.7488954788485" "-1.548848" "0.696477573354177" "-3.11396643866254" "-0.383824519034464"
"MPWI" "45" "-1.90313281043333" "-1.589055" "0.661247565181" "-3.19915422305289" "-0.607111397813768"
"MPWI" "45" "-1.83890376008488" "-1.507856" "0.661109351515719" "-3.13465427889832" "-0.543153241271439"
"MPWI" "45" "-1.63315431547308" "-1.505961" "0.706380297465487" "-3.01763425789413" "-0.248674373052041"
"MPWI" "45" "-1.91484206577546" "-1.62666" "0.666721229795857" "-3.22159166390359" "-0.608092467647323"
"MPWI" "45" "-1.7744612371912" "-1.583528" "0.688198844094217" "-3.12330618581796" "-0.425616288564439"
"MPWI" "45" "-1.8858634201293" "-1.541808" "0.667241615685042" "-3.1936329558583" "-0.578093884400303"
"MPWI" "45" "-2.04475935905601" "-1.703708" "0.658562822683453" "-3.33551877307262" "-0.753999945039407"
"MPWI" "45" "-1.83642005334701" "-1.507578" "0.661794835197757" "-3.13351409548923" "-0.539326011204786"
"MPWI" "45" "-2.00687545861049" "-1.695042" "0.665633226000526" "-3.31149260848473" "-0.702258308736245"
